Sample	Category	
the chesapeake bay	marine coastal	
the german wadden sea	marine coastal	
the ionian sea at the uranian basin (west of crete)	marine coastal	
the north carolina coast	marine coastal	
the puget sound	marine coastal	
the red sea at a depth of 1 m	marine coastal	
bay seawater	marine coastal	
bay surface water	marine coastal	
drakes bay located north of san francisco, california	marine coastal	
hector bay, jamaica	marine coastal	
the nile delta mediterranean sea surface water	marine coastal	
2600 m depth	marine deep	
51m depth of california coast	marine deep	
arabian sea at a depth of 50 meter	marine deep	
deep marine	marine deep	
deep-sea	marine deep	
deep-sea hydrothermal chimney sample	marine deep	
deep-sea hydrothermal sediments	marine deep	
deep-sea hydrothermal sulfide chimney on the cleft segment of the juan de fuca ridge	marine deep	
deep-sea hydrothermal vent	marine deep	
deep-sea hydrothermal vent area atpacmanus field	marine deep	
deep-sea hydrothermal vent chimney at the suiyo seamount	marine deep	
deep-sea hydrothermal vent chimney atthe iheya ridge in the okinawa trough	marine deep	
deep-sea hydrothermal vent in southwestindian ocean	marine deep	
deep-sea hydrothermal vent sediment	marine deep	
deep-sea hydrothermal vent sediment sample	marine deep	
deep-sea hydrothermal vents	marine deep	
deep-sea of the south china sea, which can produce glucose and fructose	marine deep	
deep-sea polychaete	marine deep	
deep-sea sediment	marine deep	
deep-sea sediment at a hydrothermal field of the bayonnaise knoll, the izu-ogasawara arc	marine deep	
deep-sea sediment core sample	marine deep	
deep-sea sediment from izu-ogasawara trench	marine deep	
deep-sea sediment of polymetallic nodule environments	marine deep	
deep-sea sediment samples	marine deep	
deep-sea sediments	marine deep	
deep-sea sediments of iheya north, okinawa trough	marine deep	
deep-sea sponge leiodermatium sp	marine deep	
deep-sea vents	marine deep	
deep-sea water at the coast of cape muroto, kochi prefecture, japan	marine deep	
deep-sea wood falls	marine deep	
deep=sea vents	marine deep	
geothermally heated sea floor at vulcano island, italy	marine deep	
gotland deep, baltic sea, pelagic redoxcline of the baltic sea	marine deep	
deep sea hydrothermal vent	marine deep	
near deep ocean hydrothermal vent	marine deep	
seawater obtained at a depth of 3500 meters from the urania basin	marine deep	
the central north pacific ocean at a depth of 5800 m	marine deep	
the pacific ocean, 288 km from the coast of san diego, usa, from a sample taken at 3800 m depth	marine deep	
deep sea	marine deep	
deep sea water	marine deep	
deep sea water collected	marine deep	
deep seawater	marine deep	
deep seawater of the south china sea	marine deep	
deep subseafloor sediment off the shimokita peninsula of japan	marine deep	
deep subseafloor sediment off the shimokita peninsula of japan; sea floor	marine deep	
red sea water column station 108 - depth 500m	marine deep	
red sea water column station 149 - depth 500m	marine deep	
red sea water column station 169 - depth 500m	marine deep	
red sea water column station 192 - depth 500m	marine deep	
red sea water column station 91 - depth 500m	marine deep	
15m depth in pacific ocean	marine surface	
36% salinity surface water	marine surface	
boothbay harbor, 1m depth	marine surface	
marine biofilm from surface of adultmussels	marine surface	
marine biofilms on a glass slide surface	marine surface	
marine surface water, north sea	marine surface	
sargasso sea at a depth of 10 meters	marine surface	
seawater from oresund, southern kattegat, 1m	marine surface	
seawater from oresund, southern kattegat, 1m depth	marine surface	
seawater from osesund, southern kattegat, 1m depth	marine surface	
seawater surface	marine surface	
seawater taken at a depth of 2 to 5 meters from the north atlantic ocean	marine surface	
surface sea water	marine surface	
surface sea water of indian ocean	marine surface	
surface sea water of the red sea	marine surface	
surface seawater	marine surface	
surface seawater from the bering sea	marine surface	
surface seawater sample collected from the western pacific ocean	marine surface	
surface seawater, north sea	marine surface	
surface sewater	marine surface	
surface water from the caribbean sea	marine surface	
surface water of the antarctic ocean	marine surface	
surface water of the east china sea	marine surface	
surface water of the mediterranean sea	marine surface	
surface water of the southern north sea	marine surface	
surface waters of the equatorial pacific	marine surface	
surface waters of the gulf of mexico	marine surface	
surface waters of the northwest atlantic ocean	marine surface	
the andaman sea near thailand at a depth of 2-5 m	marine surface	
the baltic sea at a depth of 4 meters	marine surface	
the eastern mediterranean sea at a depth of 1 m	marine surface	
the north atlantic at a depth of 2-5 m	marine surface	
the surface waters of the baltic sea	marine surface	
baltic sea (63.30n, 19.48e) at a depth of 4 m	marine surface	
baltic sea near skagerrak (57.57n, 10.44e) at a depth of 4 m	marine surface	
baltic sea surface water	marine surface	
equatorial pacific surface waters	marine surface	
gulf of maine surface waters	marine surface	
northwest mediterranean sea at a depth of one meter	marine surface	
ocean surface waters	marine surface	
red sea water column station 108 - depth 100m	marine surface	
red sea water column station 12 - depth 10m	marine surface	
red sea water column station 149 - depth 10m	marine surface	
red sea water column station 169 - depth 10m	marine surface	
red sea water column station 192 - depth 10m	marine surface	
red sea water column station 22 - depth 10m	marine surface	
red sea water column station 34 - depth 10m	marine surface	
seawater collected from a depth of 10 meters at the bermuda atlantic time series station	marine surface	
surface sea water coast of dokdo, korea	marine surface	
surface sea water collected at malvarrosa beach	marine surface	
surface sea water collected at malvarrosa beach, valencia	marine surface	
surface sea water from the indianocean	marine surface	
surface water of south china sea, and the dna was extracted after purified cultivation	marine surface	
cyanobacterial mat	microbial mat	
cyanobacterial mat sample collected	microbial mat	
cyanobacterial mat sample of antarctic lake	microbial mat	
cyanobacterial mats	microbial mat	
isolated from red microbial mats (66 degrees centigrade) from a bore well (rn 17263) runoff channel	microbial mat	
microbial mat	microbial mat	
microbial mat formed in a wooden bath filled with hot water emerging from a 2775 m-deep well	microbial mat	
microbial mat material	microbial mat	
microbial mats	microbial mat	
near-shore microbial mat	microbial mat	
microbial mat from estuary	microbial mat	
microbial mat from solar lake (sinai)	microbial mat	
microbial mat in pond	microbial mat	
microbial mat, hamelin pool	microbial mat	
microbial mats in lake fryxel	microbial mat	
copper alloy coin	mine	
copper alloy coins, this bacterium can resist copper and survive on copper surfaces for 48 h or more	mine	
copper and iron mine	mine	
copper contaminated soil from hygumsite	mine	
copper mine	mine	
copper mine and currently used	mine	
copper mine tailings	mine	
leachate from the gold ore miningspoils at an abandoned mining site	mine	
mine tailing	mine	
molybdenum mine	mine	
percolate solution of the bioleaching heap at a copper mine	mine	
richmond mine	mine	
mine waste	mine	
mining waste	mine	
15% reads came from bioreactor metagenome samn04151528 and 85% came from mine drainage metagenome samn04151554	mine drainage	
acid mine drainage	mine drainage	
acid mine drainage of copper mine	mine drainage	
acid mine drainage water	mine drainage	
acidic mine drainage	mine drainage	
acidic mine drainage (ph 2.65) from abandoned open-cast mine at sherlovaya gora in transbaikal area	mine drainage	
mine water	mine drainage	
mine water draining an abandoned cobalt/copper mine	mine drainage	
stream draining an abandoned copper mine	mine drainage	
anaerobic marine mud	mud	
anaerobic mud	mud	
anoxic marine mud, saxild, denmark	mud	
anoxic mud	mud	
anoxic mud of fresh and brackish water and marine environments. specific enrichment with benzoate	mud	
anoxic mud of fresh and brackish water and marine environments. specific enrichment with benzoate.	mud	
black anoxic freshwater mud	mud	
black mud	mud	
brown mud	mud	
deep sea mud (1050 m) from the iheya ridge near okinawa, japan	mud	
estuarine mud	mud	
forest mud	mud	
freshwater mud	mud	
lake mud	mud	
marine mud	mud	
mud	mud	
mud from a salt lagoon	mud	
mud from alkaline hot spring	mud	
mud from alkaline lake khadyn	mud	
mud from rhine river	mud	
mud of drilling swamp from italy	mud	
mud of the little eutrophic river ryck river near greifswald	mud	
mud sample collected next to a sulfuric hot spring at the los azufres geothermal field	mud	
mud samples taken from the freshwater lake, lago del fusaro near naples, italy	mud	
mud slough	mud	
mud, taken at a depth of 5110 m, from the ryukyu trench	mud	
onshore, marine mud flat sample derived from fish pens on maguyes island, la parguera, puerto rico	mud	
pesticide industrial waste (mud)	mud	
pit mud	mud	
pit mud of a chinese flavour liquor-making factory	mud	
pond mud	mud	
reed bed mud	mud	
rice field mud	mud	
river mud	mud	
salt lake mud	mud	
salt marsh mud	mud	
salt-saturated mud	mud	
sea mud	mud	
sea-mud	mud	
shoal mud	mud	
soda lake mud	mud	
the mud recovered from the depth of 11,000 m	mud	
marine oilfields	oil	
3 cells amplified by mda; sorted singlecells from oil sands tailings pond	oil	
formation water of oil well	oil	
formation water of oilfield produced fluid	oil	
oil-contaminated surface water	oil	
oil-production water	oil	
oil/water mixture from an oil production plant	oil	
oilfield produced water	oil	
pond water with small depth, with [fe] =3,8 mg/l, oily sheens similar to an oil spill and reddish-deposits of iron hydroxides are frequently observed in the water.	oil	
production water (crude oil-water emulsion) at 2,150 meter-depth (105¿¿¿¿c) of subterranean petroleum reservoir	oil	
production water from the hibernia oil platform	oil	
the production waters of a north sea oil reservoir	oil	
the production waters of the kubiki oil reservoir	oil	
water sample collected in the oil pipeline	oil	
water sample from deepwater horizon oil spill plume (depth 1200m) treated with hexadecane in a stable-isotope probing (sip) experiment	oil	
water sample from deepwater horizon oil spill sea surface treated with treated with naphthalene in a stable-isotope probing (sip) experiment	oil	
water sample from deepwater horizon oil spill sea surface treated with treated with phenanthrene in a stable-isotope probing (sip) experiment	oil	
water spring near oil-extracting enterprise, perm region, russia	oil	
crude oil contaminated sediment collected from surface layer	oil	
crude oil-contaminated sediments	oil	
oil-contaminated tidal flat sediment	oil	
oil-polluted sediment collected 0.5 km from wellhead mc252 after the deepwater horizon oil spill	oil	
an african oil producing well	oil	
canadian oil pipeline	oil	
changqing oilfield	oil	
corroding steel pipe from an offshore oil well near congo	oil	
crude oil	oil	
crude oil contaminated sea site	oil	
crude oil contaminated seashore	oil	
crude oil-contaminated seashore	oil	
deep subsurface oil reservoir	oil	
high-temperature samotlor oilreservoir	oil	
liaohe oil field	oil	
mature fine tailings from oil sandstailings pond	oil	
mature fine tailings from oil sandstailings pond grown in anaerobic alkane degradingenrichment culture	oil	
mature fine tailings from oil sandstailings pond grown in methanogenic alkane degradingenrichment culture	oil	
obtained by stable isotope probing oftoluene degrading sulfate-reducing culture enriched fromoil sands tailings of alberta, canada	oil	
obtained by stable isotope probing oftoluene-degrading methanogenic culture enriched from oilsands tailing of alberta, canada	oil	
off shore oil field from gulf ofguinea	oil	
oil contaminated tidal flat	oil	
oil deposit	oil	
oil field	oil	
oil field site	oil	
oil fields; crude oil	oil	
oil produced water	oil	
oil reservoir	oil	
oil reservoir formation water taken at a depth of 2000 m and a temperature of 73oc	oil	
oil reservoir sample i1	oil	
oil reservoir sample i2	oil	
oil reservoir sample k2	oil	
oil reservoir sample k3	oil	
oil reservoir sample sb1	oil	
oil reservoir sample sb2	oil	
oil separation tank	oil	
oil well	oil	
oil well corrosion site	oil	
oil well off the coast of vietnam	oil	
oil-contaminated slough	oil	
oil-immersed sample from guaymas basin	oil	
oil-producing well	oil	
qinghai-tibet plateau, is able to effectively degrade crude oil	oil	
redwash oilfield (utah, usa)	oil	
shengli oilfield	oil	
single cells from produced water fromoil field	oil	
the troll oil formation	oil	
saline liquid (12-14%) found 11-24 m below the surface within a forty thousand-year-old siberian permafrost at the kolyma-indigirka lowland	other water	
10 m water depth from station nh15	other water	
2-3 km off coast sea water, valencia	other water	
5 liters of water from the tucurui power plant reservoir, point m5 collected 50cm beneath the lake surface, then filtered by negative pressure for posterior culture in bg-11 medium	other water	
5 liters of water from the tucuruipower plant reservoir, point m5 collected 50cm beneath thelake surface, then filtered by negative pressure forposterior culture in bg-11 medium	other water	
a tidal flat	other water	
a water sample from the american segment of the international space station (iss) cooling system	other water	
acidic lake water	other water	
acidic saline drain; ph 2.1, 130 g/l chloride, 1.4 g/l iron(ii)	other water	This is naturally occurring underground water aronud rocks richs in sulfates, iron and aluminum. It is chemically similar to acidic mine drainage
acidic salty water	other water	This is naturally occurring underground water aronud rocks richs in sulfates, iron and aluminum. It is chemically similar to acidic mine drainage
acidic water from solfataric field	other water	
acidic, salty water	other water	
acquasanta terme sulfidic cave stream	other water	
agricultural settling lagoon	other water	
agricultural settling lagoon at oklahoma state university	other water	
alkaline lake	other water	
alkaline salt lake	other water	
alpine snowpack and surface water	other water	
amundsen sea polynya	other water	
anchialine pool	other water	
anoxic fjord	other water	
antarctic supraglacial stream	other water	
aquaculture pond	other water	
aquaculture tilapia pond	other water	
aquarium	other water	
aquarium sewater	other water	
aquarium water	other water	
aquatic	other water	
aquatic products	other water	
aquatic, environmental habitats to investigate the genetic divergence of enterococcus faecalis from non-clinical sources	other water	
arctic sea ice floe	other water	
arctic seawater	other water	
arsenic-rich groundwater	other water	
ayakekum salt lake - low temperature,low nutrient levels, abundant sunlight and remotegeographical location; ph of the water was approximatelyph 7-8	other water	
ayakekumsalt lake	other water	
baltic sea; brakish water	other water	
belgian river and it displays an antimicrobial activity against staphylococcus aureus	other water	
big soda lake, nevada	other water	
birch lake, minnesota	other water	
biwa-ko lake is analyzed	other water	
bog water; bog lake	other water	
boiling marine water hole	other water	
borax leachate ponds	other water	
bore well of a great artesian basin of australian subsurface naturally heated aquifer	other water	
borehole 1p, beliy yar	other water	
brackish ditch	other water	
brackish surface water	other water	
brackish water	other water	
brackish water collected from the surface of the baltic sea	other water	
brackish water from the baltic sea	other water	
brackish water; sakinaw lake	other water	
brackish water; sakinaw laken	other water	
brine-seawater interface	other water	
brook	other water	
caciam 22 non-axenic culture of unicellular cyanobacterium started from water sample from bolonha lake	other water	
canal water	other water	
capian sea	other water	
caspian sea	other water	
chanda river in cold deserts of lahaul and spiti	other water	
channel water	other water	
chattahoochee river	other water	
chott el djerid salt lake	other water	
chukchi sea	other water	
cooling tower water	other water	
creek	other water	
creek water	other water	
deep lake, antarctica	other water	
deep mine fissure water	other water	
deep subsurface groundwater	other water	
deep water	other water	
distilled water	other water	
ditch water	other water	
domestic hot water	other water	
drilling bore water	other water	
drinking water	other water	
drinking water distribution system	other water	
drinking water fountain	other water	
drinking water network	other water	
environment (water)	other water	
environment water	other water	
environmental (water)	other water	
environmental water sample	other water	
environmental water samples	other water	
environmental waters	other water	
erba brine-seawater interface	other water	
estuarial environment	other water	
estuarine aquaculture unit containing juvenile oysters	other water	
estuarine water	other water	
etoliko lagoon in western greece	other water	
eutrophic lake le loclat	other water	
eutrophic water	other water	
facultative waste stabilization pond	other water	
fish farm water sample	other water	
fissure water	other water	
formation water coalbed methane wells	other water	
formation water extracted 1960m underground from a high temperature (102c) petroleum reservoir at gippsland basin, australia	other water	
formation water in gippsland basin	other water	
free water knockout tank	other water	
from waters of the river temernik inrostov-on-don	other water	
gabilan creek water	other water	
garden pond	other water	
geomnyoung pond	other water	
geothermal lake	other water	
glacial stream	other water	
glacial stream water	other water	
glomma river	other water	
gray water, kitchen	other water	
great australian bight water	other water	
great sippewissett salt marsh; marine microbial mat	other water	
ground water	other water	
ground water from background well	other water	
ground water from background well at doe's frc site at oak ridge	other water	
groundwater	other water	
groundwater filtered through a 3.0 um filter	other water	
groundwater filtered through a a 3.0 um filter and then through a 0.2 um filter	other water	
groundwater from 1.7 km deep subsurface	other water	
groundwater of a benzene-contaminated sulfidic aquifer	other water	
gulf stream in the north atlantic ocean	other water	
hanford 300 area ifrc 399-1-60 groundwater	other water	
hard water rivulet	other water	
heated water in contact with grass/sediment layer	other water	
hot water	other water	
hot water system	other water	
hot water tap	other water	
humic lake water	other water	
humic water from a ditch	other water	
humic-rich lake grosse fuchskuhle located	other water	
hydraulic fracturing produced water	other water	
hydraulic fracturing produced water storage tank	other water	
hydrocarbon contaminated water	other water	
hyporheic zone of the clark fork river	other water	
hyporheic zone of the nyack river	other water	
indus river	other water	
industrial cooling tower water	other water	
industrial water from southern sweden	other water	
industry water	other water	
intertidal seawater	other water	
intertidal waters off long island	other water	
irrigation canal	other water	
irrigation water	other water	
junction between the ocean and a freshwater spring	other water	
kaneohe bay	other water	
kebrit brine-seawater interface	other water	
kunminghu lake	other water	
laboratory modified environmental (pond)	other water	
laboratory water bath	other water	
lago dos indios	other water	
lagoon	other water	
lagoon water	other water	
laguna antofalla	other water	
limnetic water	other water	
limnic surface water	other water	
little long lake	other water	
loktak lake	other water	
lonar lake	other water	
lonar lake water sample	other water	
low-oxygen groundwater sample	other water	
man-made lake	other water	
man-made lake 220 cm below water surface	other water	
mangrove water	other water	
marcellus shale hydraulic fracturing produced water	other water	
water	other water	
melt water	other water	
meteorite created haloalkaline lake	other water	
microcosm of filter sterilized niagara river water spiked with yersinia pestis a1122	other water	
mineral water	other water	
moat water	other water	
moder river	other water	
mono lake	other water	
mono lake, california, which is rich	other water	
muddy water	other water	
muddy water from an occasional drainagesy system	other water	
murphey candler lake	other water	
murray-darling, bingil creek	other water	
natural gas brine water containing very high concentrations of iodide (60 ?m to 1	other water	
natural mineral waters	other water	
neretic sea water	other water	
new delhi seepage water sample	other water	
nw mediterranean sea at a depth of one meter	other water	
obsidian pool, yellowstone national park	other water	
orfrc groundwater during biostimulation for uranium bioreduction	other water	
orinoco river basin	other water	
oxidation pond	other water	
pharma water of cosmetic product	other water	
pleasant lake	other water	
pond water enriched with phosphorus and nitrogen	other water	
pool at botanical garden	other water	
potable water	other water	
produced water originating from a coalbed methane well	other water	
production water	other water	
puddle of water	other water	
pumped water from 2m above bottom of lake banyoles	other water	
rain water pond	other water	
raw water	other water	
rearing water of healthy turbot (scophthalmus maximus)	other water	
reservoir for drinking water supply	other water	
rifle groundwater metagenome at time 1/ a; 0.2 micron filter	other water	
rifle groundwater metagenome at time 5/ e; 0.1 micron filter	other water	
rifle well cd01 at 16ft depth; 0.1 micron filter at time point a	other water	
rifle well cd01 at 16ft depth; 0.1 micron filter at time point b	other water	
rifle well cd01 at 16ft depth; 0.1 micron filter at time point c	other water	
rifle well cd01 at 16ft depth; 0.1 micron filter at time point d	other water	
rifle well cd01 at 16ft depth; 0.2 micron filter at time point a	other water	
rifle well cd01 at 16ft depth; 0.2 micron filter at time point b	other water	
rifle well cd01 at 16ft depth; 0.2 micron filter at time point c	other water	
rifle well cd01 at 16ft depth; 0.2 micron filter at time point d	other water	
rifle well cd01 at 16ft depth; 1.2 micron filter at time point a	other water	
rifle well cd01 at 16ft depth; 1.2 micron filter at time point b	other water	
rifle well cd01 at 16ft depth; 1.2 micron filter at time point c	other water	
rifle well cd01 at 16ft depth; 1.2 micron filter at time point d	other water	
rifle well cd01 at time point 1 / a; 5m depth; 0.1 filter	other water	
rifle well cd01 at time point 1 / a; 5m depth; 0.2 filter	other water	
rifle well cd01 at time point 2 / b; 5m depth; 0.1 filter	other water	
rifle well cd01 at time point 2 / b; 5m depth; 0.2 filter	other water	
rifle well cd01 at time point 3 / c; 5m depth; 0.1 filter	other water	
rifle well cd01 at time point 3 / c; 5m depth; 0.2 filter	other water	
rifle well cd01 at time point 4 / d; 5m depth; 0.1 filter	other water	
rifle well cd01 at time point 4 / d; 5m depth; 0.2 filter	other water	
rifle well cd01 at time point 5 / e; 5m depth; 0.1 filter	other water	
rifle well cd01 at time point 5 / e; 5m depth; 0.2 filter	other water	
rifle well cd01 at time point 6 / f; 5m depth; 0.1 filter	other water	
rifle well cd01 at time point 6 / f; 5m depth; 0.2 filter	other water	
rifle well fp-101 under high o2 conditions 0.1 micron filter; 10% subassembly	other water	
rifle well fp-101 under high o2 conditions; 0.1 micron filter; full assembly	other water	
rifle well fp-101 under high o2 conditions; 0.2 micron filter; 10% subassembly	other water	
rifle well fp-101 under high o2 conditions; 0.2 micron filter; full assembly	other water	
rifle well fp-101 under high o2 conditions; 1.2 micron filter; 10% subassembly	other water	
rifle well fp-101 under high o2 conditions; 1.2 micron filter; full assembly	other water	
rifle well fp-101 under low o2 conditions; 0.1 micron filter; 10% subassembly	other water	
rifle well fp-101 under low o2 conditions; 0.1 micron filter; full assembly	other water	
rifle well fp-101 under low o2 conditions; 0.2 micron filter; 10% subassembly	other water	
rifle well fp-101 under low o2 conditions; 0.2 micron filter; full assembly	other water	
rifle well fp-101 under low o2 conditions; 1.2 micron filter; 10% subassembly	other water	
rifle well fp-101 under low o2 conditions; 1.2 micron filter; full assembly	other water	
river mouth	other water	
river water (estuarine)	other water	
running water from environment	other water	
salt water	other water	
saltwater digestion basin	other water	
sample dis-bwi from brine seawater interface of discovery deep brine pool	other water	
sample pl-br10;  brine of picturesque lake	other water	
sample t5-br;  brine of lake tanatar-5	other water	
sample tc-br; brine of tanatar trona crystallizer	other water	
sea water from a tank	other water	
sea water mixed with spring water, jeju island	other water	
seasonally frozen proglacial lake podprudnoye	other water	
seawater and soil samples	other water	
seawater aquarium outflow	other water	
seawater from larval cultures of the scallop pecten maximus	other water	
seawater from mussel farm	other water	
seawater from the shrimp farm	other water	
seawater from the upper reaches of an estuary	other water	
seawater of a fish culture pond at bheemli, andhra pradesh, india	other water	
sebkha water	other water	
service (non-potable) water	other water	
service water	other water	
shallow subsurface groundwater	other water	
shallow tropical waters	other water	
shallow water of lake verde (4400 m asl) has been proposed as a model poly-extremophilic strain as it is able to cope with the extreme conditions of the lake: high concentration of salt and arsenic and exposure to high uv irradiation	other water	
shark tank water	other water	
single cell amplified by mda;brine-seawater interface from atlantis ii deep red sea	other water	
single cell isolate; brackish water	other water	
single cell isolated from 0.8 micron filter from seawater collected from 1m depth in the scripps institution of oceanography pier	other water	
single cell isolation; brackish water	other water	
small lake	other water	
soda lake	other water	
soda lake with high salinity	other water	
soda lake, lake chagannor	other water	
soda lakes	other water	
solar lake	other water	
spirit lake	other water	
spirulina culture pond	other water	
stagnant water	other water	
stagnant water from salt pan, nh-27, kutchch, gujarat, india	other water	
storm drain	other water	
stratum water	other water	
subsurface water	other water	
subsurface water sample	other water	
sulfide-containing well water	other water	
sulfidic groundwater	other water	
superficial water	other water	
surface of lake	other water	
surface water	other water	
surface water from the penola strait, antarctica	other water	
surface water near a waste treatment plant at tokyo bay	other water	
surface waters	other water	
tank of well water	other water	
tap water	other water	
tap water incubated with methane	other water	
temporary water pond	other water	
the blue lagoon	other water	
the brine-seawater interface of the shaban deep, and represents a new, deeply branching lineage within the gammaproteobacteria currently recognized as the order salinisphaerales	other water	
the oxic water column of the gotland deep	other water	
the tidal flats of the yellow sea	other water	
the water column	other water	
the water columns of the huguangyan maar lake	other water	
the water sample collected from kochi back water	other water	
thermal spa water	other water	
thermally altered water	other water	
tidal flat	other water	
tidal flat at asan bay, korea	other water	
tidal flat on the west coast	other water	
tropical lagoon water, genomic sequencing was conducted using gs-flx-titanium	other water	
tropical surface water	other water	
trough water (dairy cow farm)	other water	
turbid saltwater	other water	
warham salt marsh creek	other water	
water	other water	
water (small pond)	other water	
water and flocculent from an artificial iron seep	other water	
water area where the ocean and a freshwater spring meet	other water	
water column	other water	
water column (churince system)	other water	
water column of kieler bucht (a fiord near the city of kiel	other water	
water condensation from the shenzhou x spacecraft of china collected during 15 days in orbit	other water	
water cooling tower	other water	
water ditch of chicken farm between 1998-2001	other water	
water from a saline meromictic lagoon	other water	
water from a shrimp washing container	other water	
water from a volcanic lake	other water	
water from farm	other water	
water from great artesian basin bore well	other water	
water from hose connected to pond	other water	
water from hydrothermal chimney-likestructure	other water	
water from hydrothermal vent	other water	
water from lanyang plain	other water	
water from newly drilled coal seam bore well, sample 4	other water	
water from production well of uzen petroleum reservoir	other water	
water from rimov reservoir	other water	
water from shallow hydrothermal vent	other water	
water from sulfur spring	other water	
water from the churince hydrological system	other water	
water from the pettaquamscutt estuary,	other water	
water from tilapia pond	other water	
water from water well	other water	
water from watering pot	other water	
water heater	other water	
water in bus air conditioner	other water	
water in cooling tower	other water	
water in home evaporator cooler	other water	
water in kitchen sink drain pit	other water	
water in turkey house	other water	
water kefir	other water	
water of an humidifier during the investigation of an outbreak of fever	other water	
water outlet of the burns unit at the queen elizabeth hospital birmingham, uk	other water	
water pipe	other water	
water pool in cave	other water	
water pool in cave at wind cave national park	other water	
water purification plant	other water	
water rainwater-tap botanic garden hamburg	other water	
water reservoir	other water	
water sample	other water	
water sample 10m	other water	
water sample collected from a coal seam gas collection system	other water	
water sample collected from a newly drilled coal seam bore well (65 hours after drilling)	other water	
water sample from an air conditioner	other water	
water sample from river in wudalianchi volcano	other water	
water sample louisiana bayou	other water	
water sample of the  condensate water regeneration system of the international space station (iss)	other water	
water samples	other water	
water samples of the water storage and dispensing system of the international space station (iss)	other water	
water supply	other water	
water supply of la timone hospital centre	other water	
water surrounding cultivated oysters, vinaroz	other water	
water treatment plant	other water	
water treatment system designed to remove sulfolane from contaminated groundwater	other water	
water well	other water	
water well sample	other water	
water with organic detritus	other water	
water work	other water	
water-sand suspension from geyser strokkur	other water	
water, [envo:00002006]	other water	
water, environmental	other water	
water, lake, solar lake	other water	
water, most likely pond	other water	
water(envo:00002006)	other water	
waterborne outbreak	other water	
waterfall	other water	
watre sample	other water	
well water	other water	
recirculating aquaculture system	other water	
recirculating aquaculture system with fresh water at 25c	other water	
saline environment	other water	
saline wetland	other water	
4-year-old roots of korean ginseng	plant	
apple tree	plant	
banana	plant	
banana bacterial wilt from infected banana pseudostem	plant	
banana leaf	plant	
banana plant	plant	
banana rhizosphere	plant	
banana roots	plant	
banana wilt	plant	
bean nodules	plant	
bean rhizophere	plant	
broccoli sprouts	plant	
cabbage	plant	
cabbage cv. wk882	plant	
cantaloupe	plant	
carrot	plant	
celery	plant	
celery stalk and leaf	plant	
cilantro	plant	
coconut	plant	
cooking banana	plant	
cooking banana (cultivar saba)	plant	
coriander	plant	
corn	plant	
corn rhizosphere, shanxi, china, the genome was sequenced to make the comparative genomic sequence analysis of nitrogen fixation	plant	
corn root	plant	
corn stalk	plant	
cucumber	plant	
cucumber roots	plant	
diseased carrot	plant	
diseased ginger	plant	
diseased rice sample	plant	
diseased sweet potato	plant	
fruit	plant	
granny smith apples	plant	
isolated from cucumber	plant	
kiwi fruit	plant	
lemon samples	plant	
lettuce	plant	
lettuce leaf	plant	
lettuce leaves	plant	
mango fruit	plant	
natural sesame seeds	plant	
oats	plant	
peach fruit, variety snow king	plant	
peaches	plant	
pineapple	plant	
pineapple fruit	plant	
potato	plant	
spinach	plant	
spinach, organic	plant	
unripe fruit	plant	
watermelon fruit	plant	
watercress	plant	
a xerophilous moss	plant	
acacia	plant	
acacia senegal nodules	plant	
acai pulp	plant	
acer pseudoplatanus	plant	
actinidia	plant	
actinidia chinensis	plant	
actinidia chinensis var	plant	
actinidia deliciosa	plant	
alfalfa	plant	
alfalfa and radish sprouts	plant	
alfalfa hay-fed cow	plant	
alfalfa herbal tea	plant	
alfalfa sprouts	plant	
algae	plant	
algae culture	plant	
algae from the coast of the palau islands	plant	
algae surface near tjrn, sweden	plant	
algae were collected in the english channel near roscoff (brittany, france); red alga (delesseria sanguinea)	plant	
algal cultures	plant	
algal mat	plant	
algal phycosphere	plant	
all previous burkholderia have been isolated from acacia or mimosa. these isolates were obtained from nodules on papilinoidae spps.	plant	
almond	plant	
almond kernel (raw, variety carmel)	plant	
almond kernel (raw, variety nonpariel)	plant	
almond leaf	plant	
almond tree	plant	
aloe	plant	
amorphophallus konjac calli tissue culture	plant	
ananas sp	plant	
ancient mexican landrace of corn, chapalote	plant	
ancient tree cryptomeria fortunei	plant	
and exert their plant growth promoting effects on the roots	plant	
anthyllis vulneraria, a metallicolous legume species growing	plant	
apoplast	plant	
apple flowers	plant	
arabidopsis microbiome, rhizosphere and endosphere	plant	
arabidopsis microbiome, rhizosphere and endosphere samples	plant	
arrhenatherum elatius	plant	
artificially infected catharanthus roseus	plant	
avocado rhizosphere	plant	
avocado roots	plant	
babaco pedunkle sap	plant	
baby spinach	plant	
bacterial pustule of leaf	plant	
bacterial wilt nursery, which is used for evaluating crops resistance to ralstonia	plant	
bamboo forest	plant	
barley	plant	
barley but non-pathogenic when tested on barley or wheat	plant	
barley rhizosphere	plant	
beech forest	plant	
beetroot field	plant	
begonia semperflorens	plant	
black cottonwood tree	plant	
black leg symptoms of solanum tuberosum	plant	
blackcurrant	plant	
blade of grass	plant	
branches	plant	
brassica oleracea var. botrytis	plant	
brassica oleracea var. capitata	plant	
bromus carinatus	plant	
bud from a walnut tree	plant	
c. aurantifolia	plant	
c. limetta	plant	
c. paradisi	plant	
c. sinensis	plant	
